% 1. Title: Question answer dataset
% 
% 2. Sources:
%      (a) Creator: Pooja lodhi
% 3. Attribute Information:
%	1. sentence 
%	2.type of question: (1)what , (2)what-happen , (3)where , (4)when

@RELATION question-tag

@ATTRIBUTE sentence	string
@ATTRIBUTE questiontag	{what, what-happen, where, when}

@DATA
'In the absence of relevant Sports certificates Scholarship application will not be considered.',what-happen
'Amity reserves its right to cancel the admission of successful candidate If the fees is not deposited by the stipulated date',what-happen
'Amity reserves its right to cancel the admission of successful candidate If the candidate does not join the particular programme by the stipulated date even though the fee has been deposited.',what-happen
'In case you complete the course and obtain the degree on the basis of documents which are later found to be forged, fabricated or false, at any point of time, your degree shall be cancelled/ recalled.',what-happen
'If you have appeared in a qualifying examination and the result thereof is awaited, you can apply provisionally to go through admission process at your own risk.',what-happen
'If the soil is saturated, or if the rainfall rate is greater than the rate at which water can infiltrate into the soil, surface runoff occurs.',what-happen
'If the runoff has sufficient flow energy, it will transport loosened soil particles (sediment) down the slope.'what-happen
'If their body temperature reaches 40 °C (104 °F), they can orientate themselves with the folded wings edgewise to the sun.',what-happen
'If saliva cannot dissolve something, you cannot taste it',what-happen
'After eating too much, your hearing is less sharp.',what-happen
'Monday is the day of the week when the risk of heart attack is greatest',what-happen
'When you turn off your brain turns on.',what-happen
'When metamorphosis is complete, the pupal skin splits, the adult insect climbs out, and after its wings have expanded and dried, it flies off.',what-happen
'Butterflies can only fly when their temperature is above 27 °C',what-happen
'when it is cool, they can position themselves to expose the underside of the wings to the sunlight to heat themselves up.',what-happen
'Once your order has been shipped you will get an e mail and SMS informing you the details of courier partner and AWB number using which you can track your shipment.',what-happen
'Once your order is placed, one of our logistic partners would pick the product from us and deliver it you',what-happen
'For any shipment which is getting shipped through India Post, you will be notified at the time of providing your address.',what-happen
'Once the 1 hour has lapsed, unfortunately you would not be able to cancel the order.',what-happen
'However if you have paid using credit card/net banking, you may choose not to accept the order and we will refund the amount to you, once the shipment comes back to us.',what-happen
'COD options are not available for the following reasons Order value is less than Rs. 500 or more than Rs. 5000.',what-happen
'COD options are not available for the following reasons If your pin code is not COD serviceable',what-happen
'When an author signs the IEEE Copyright Form, he/she is transferring ownership of the copyright rights in the work to the IEEE.',what-happen
'In other words, IEEE becomes owner of the paper when the author signs, dates, and submits a corresponding IEEE Copyright Form.',what-happen
'Plagiarism occurs when an author work has been reused in such a way as to make it appear as someone else work.',what-happen
'it is compulsory for one of the author to present the paper in the conference to get the paper to be published in IEEE Xplore and conference Souvenir.',what-happen
'No refunds balance amount will be given in a case where the transfer is being done to someone eligible for a greater discount.',what-happen
'Minimum One Author registration must, if paper is selected.',what-happen
'At temperatures and pressures above the critical point, carbon dioxide behaves as a supercritical fluid',what-happen
'Since it is centrosymmetric, the molecule has no electrical dipole.',what-happen
'Plagiarism of any type, if detected, will lead to rejection of the articles anytime.',what-happen
'DO NOT submit multiple copies of same article, which will cause rejection.',what-happen
'When placed in the mouth, it dissolves (just like other hard candy) and releases the gas bubbles with an audible pop.',what-happen
'As a result, breathing low-pressure air or a gas mixture with no oxygen at all can lead to loss of consciousness without ever experiencing air hunger.',what-happen
'a rise in the partial pressure of CO2 or a lower pH will cause offloading of oxygen from hemoglobin',what-happen
'Standing still for a prolonged period will cause an increase in transcapillary hydrostatic pressure.',what-happen
'Fire and explosion hazards exist when concentrated oxidants and fuels are brought into close proximity',what-happen
'If the elbow straightens illegally then the square-leg umpire may call no-ball',what-happen
'If its concentration is high, the capillaries expand to allow a greater blood flow to that tissue.',what-happen
'If the ball is hit around, above, or through the block, the defensive players arranged in the rest of the court attempt to control the ball with a dig',what-happen
'When the ball contacts the floor within the court boundaries, the team on the opposite side of the net is awarded a score.',what-happen
'When the ball lays still on the bossawall, the point goes to the opponent team.',what-happen
'If the team batting last is all out, and both sides have scored the same number of runs, then the match is a tie',what-happen
'If the team that bats last is all out having scored fewer runs than their opponents, the team is said to have "lost by n runs"',what-happen
'a ball thrown over a distance of at least ten yards could be marked if caught on the full',what-happen
'Concentrated O2 will allow combustion to proceed rapidly and energetically.',what-happen
'Points are awarded if the ball hits the ground in the opponents court',what-happen
'Points are awarded if the opponents commit a fault',what-happen
'Points are awarded if they fail to return the ball over the net.',what-happen
'When pH is too high, the concentration of hydrogen ions in the blood is too low, so the kidneys excrete bicarbonate',what-happen
'If paying by credit card or wire transfer, WeWork requires a Service Retainer equal to two and a half months (2.5 months) of your monthly Membership Fee.',what-happen
'An incoming call will go to voice mail after ringing just a few times.',what-happen
'the Java plug-in will continue to work even if the Java DT plug-in is disabled.',what-happen
'When hippos are upset, their sweat turns red.',what-happen
'If you lift a kangaroo tail off the ground it can not hop.',what-happen
'Even when a snake has its eyes closed, it can still see through its eyelids.',what-happen
'Toads may also play dead, or puff themselves up to appear bigger if they feel threatened by predators.',what-happen
'If it is in kids mode, then the owner of the phone will need to enter the password to access parental settings or exit the mode.',what-happen
'If the beam of light is not orthogonal (or rather normal) to the boundary, the change in wavelength results in a change in the direction of the beam.',what-happen
'When an insect touches the hairs of a Venus Fly Trap it triggers the plant to close, trapping its victim before killing and dissolving it in acid.',what-happen
'Providing of incorrect information for the purpose of claiming offers or otherwise, will lead to cancellation of registration and the registration amount paid shall not be refunded.',what-happen
'If the conference organizing committee would like to take subsection approval for technical sponsorship then they have to keep IEEE Bombay Section in the loop for all the communication.',what-happen
'In case any data that is provided during registration is found to be false and/or incorrect, PMI India reserves right to cancel the registration and no refund will be provided.',what-happen
'Above 4 °C, water expands when heated',what-happen
'The noise that is thunder is created when the air around lightning gets rapidly heated and expands at a rate faster than the speed of sound.',what-happen
'if they are ripe they should have a bouncing quality.',what-happen
'Above 4 °C, water contracts when cooled',what-happen
'Supersonic flight is achieved when an object travels at a speed faster than sound',what-happen
'If two quantities have a ratio of approximately 1.618, they are said to be in the golden ratio.',what-happen
'When an electric charge builds up on the surface of an object it creates static electricity.',what-happen
'When traveling at 80 kilometres per hour, cars use around half of their fuel just to overcome wind resistance.',what-happen
'If you ignore air resistance (drag) then the speed of an object falling to Earth increases by around 9.8 metres per second every second.',what-happen
'When you die your hair still grows for a couple of months.',what-happen
'When a male penguin falls in love with female penguin, he searches the entire beach to find the perfect pebble to present to her.',what-happen
'Whenever a pregnant women suffers from organ damage like heart attack, the fetus sends stem cells to the organ helping it to repair.',what-happen
'When you blush, the lining of your stomach also turns red.',what-happen
'If you place a ripe banana next to a green tomato, it will ripen due to the ethylene gas produced by the banana.',what-happen
'When you urinate in a pool, the nitrogen in urine and chlorine mix to form cyanogens chloride, a toxic chemical.',what-happen
'When you burn calories your body tears the fat molecules down to their basic carbon atoms, attaches them to oxygen and you exhale them.',what-happen
'When a bald eagle loses a feather, it will automatically shed the same feather on its other side to maintain balance.',what-happen
'When three-letter airport codes became standard, airports that had been using two letters simply added an X.',what-happen
'When fruit flies are infected with a parasite, they self-medicate with booze—they seek out food with higher alcohol content.',what-happen
'If you put a can of Diet Coke in water, it floats.',what-happen
'If you plan on exploring cultural monuments, Italy must be on your list',what-happen
'The ant always falls over on its right side when intoxicated.',what-happen
'If you keep a Goldfish in the dark room, it will eventually turn white.',what-happen
'If the population of China walked past you in single file, the line would never end because of the rate of reproduction.',what-happen
'if you had apple a day, it would take you nearly seven years to eat each kind.',what-happen
'Apples ripen up to 10 times faster when you leave them out then when you refrigerate them.',what-happen
'If the entire world water were fit into a 4 litre jug, the fresh water available for us would equal only about one tablespoon',what-happen
'When cats are happy or pleased, they squeeze their eyes shut.',what-happen
'Diamonds burn if you heat them somewhere between 1,400 to 1,600 degrees Fahrenheit.',what-happen
'Fulgurite is formed when lightning strikes sand.',what-happen
'Some ribbon worms will eat themselves if they can not find any food.',what-happen
'if you eat a Polar Bear liver, you will die of a vitamin A overdose.',what-happen
'Female ferrets die if they can not find a mate after going into heat.',what-happen
'The flamingo can only eat when its head is upside down.',what-happen
'If you are interested more in this intriguing architectural monument, check out this cool infographic!',what-happen
'If the horse has both front legs in the air, the person died in battle;',what-happen
'if the horse has one front leg in the air, the person died as a result of wounds received in battle;',what-happen
'if the horse has all four legs on the ground, the person died of natural causes.',what-happen
'When a Hawaiian woman wears a flower over her left ear, it means that she is not available.',what-happen
'If you feed a seagull Alka-Seltzer, its stomach will explode.',what-happen
%---- what-happen :17
%----------------------------
'the Grotto is the Marian place of prayer and reflection',what
'The stellar temperature will determine the rate of ionization of various elements',what
'In Windows XP, it contained other subfolders such as "My Pictures", "My Music" and "My Videos". ',where
'Their luggage is stored at Bird Song',where
'the Pinocchio paradox rapidly became popular on the Internet.',where
'The Keshav Dev Temple was built on the site of Krishna birthplace',where
'This box contained rat poison',where
